Ram,Weight,Touchscreen,ppi,HDD,SSD
8,1.37,0,226.98300468106115,0,128
8,1.34,0,127.67794013309688,0,0
8,1.86,0,141.21199808219862,0,256
16,1.83,0,220.53462386625827,0,512
8,1.37,0,226.98300468106115,0,256
4,2.1,0,100.45466986113652,500,0
16,2.04,0,220.53462386625827,0,0
8,1.34,0,127.67794013309688,0,0
16,1.3,0,157.3505121487356,0,512
8,1.6,0,157.3505121487356,0,256
4,1.86,0,100.45466986113652,500,0
4,1.86,0,141.21199808219862,500,0
16,1.83,0,220.53462386625827,0,256
4,2.2,0,141.21199808219862,0,256
8,0.92,0,226.4155471693585,0,256
8,1.37,0,226.98300468106115,0,256
8,2.2,0,141.21199808219862,0,256
16,1.83,0,220.53462386625827,0,512
8,2.2,0,141.21199808219862,1000,0
8,1.22,1,165.6321180513006,0,128
2,0.98,0,135.0942111925629,0,0
8,2.5,0,141.21199808219862,1000,128
4,1.86,0,100.45466986113652,500,0
8,1.62,1,165.6321180513006,0,256
8,1.91,0,141.21199808219862,0,256
4,2.3,0,100.45466986113652,1000,0
8,1.35,0,127.67794013309688,0,0
8,2.2,0,141.21199808219862,0,256
8,1.88,0,141.21199808219862,0,512
8,2.5,0,127.33567457123112,1000,0
4,1.89,0,141.21199808219862,0,0
2,1.65,0,111.93520355955212,0,0
4,2.71,0,127.33567457123112,500,0
16,1.2,1,276.053530085501,0,512
8,1.35,0,127.67794013309688,0,0
4,1.44,0,111.93520355955212,0,0
4,2.1,0,100.45466986113652,1000,0
8,2.8,0,127.33567457123112,1000,128
4,1.86,0,100.45466986113652,1000,0
8,2.1,0,141.21199808219862,0,256
4,2.0,0,141.21199808219862,1000,0
16,2.65,0,141.21199808219862,1000,256
8,2.3,0,100.45466986113652,1000,0
4,2.2,0,141.21199808219862,0,256
12,2.77,1,127.33567457123112,1000,0
8,1.37,0,226.98300468106115,0,256
4,2.2,0,100.45466986113652,0,128
8,3.2,0,127.33567457123112,1000,256
4,2.3,0,141.21199808219862,0,256
4,2.8,0,90.58340172449304,1000,0
4,0.69,1,224.1738090785728,0,0
8,2.2,0,141.21199808219862,0,256
4,1.86,0,141.21199808219862,0,256
8,1.49,0,165.6321180513006,0,512
4,2.4,0,100.45466986113652,1000,0
8,2.13,0,141.21199808219862,0,256
4,1.91,0,141.21199808219862,0,128
4,2.0,0,100.45466986113652,0,256
16,2.43,0,127.33567457123112,2000,256
4,2.0,0,141.21199808219862,0,256
16,2.8,0,127.33567457123112,2000,256
8,1.7,0,157.3505121487356,0,256
8,1.7,0,157.3505121487356,0,256
8,1.4,0,157.3505121487356,0,256
8,1.86,0,141.21199808219862,0,256
16,1.8,0,141.21199808219862,0,512
4,1.86,0,100.45466986113652,500,0
4,1.44,0,111.93520355955212,0,32
4,1.9,0,141.21199808219862,1000,0
12,3.0,0,127.33567457123112,1000,0
4,1.252,1,200.84255993695703,0,128
8,1.4,0,165.6321180513006,0,256
8,2.2,0,141.21199808219862,0,256
8,2.7,0,127.33567457123112,1000,128
8,2.1,0,111.93520355955212,1000,0
8,2.2,0,141.21199808219862,1000,0
8,2.2,0,141.21199808219862,2000,0
8,2.02,0,141.21199808219862,1000,128
4,2.2,0,141.21199808219862,1000,0
8,2.5,0,127.33567457123112,1000,128
8,1.88,0,141.21199808219862,0,256
8,0.92,0,226.4155471693585,0,512
8,1.63,0,157.3505121487356,0,256
4,2.2,0,141.21199808219862,0,128
4,2.1,0,100.45466986113652,1000,0
16,2.65,0,141.21199808219862,1000,128
8,1.83,0,141.21199808219862,0,256
8,1.96,0,141.21199808219862,0,256
16,2.2,0,141.21199808219862,1000,128
8,1.21,0,165.6321180513006,0,256
8,2.45,0,141.21199808219862,1000,0
8,2.2,0,141.21199808219862,1000,0
16,1.49,0,165.6321180513006,0,512
8,2.65,0,141.21199808219862,0,256
8,1.25,0,157.3505121487356,0,256
8,1.5,1,165.6321180513006,0,256
8,2.2,0,141.21199808219862,1000,0
4,2.2,0,141.21199808219862,0,256
6,2.0,0,141.21199808219862,0,256
12,2.62,0,141.21199808219862,1000,128
8,1.91,0,141.21199808219862,0,256
4,2.1,0,141.21199808219862,500,0
8,2.2,0,141.21199808219862,1000,0
8,1.38,0,165.6321180513006,0,256
8,1.252,1,200.84255993695703,0,256
6,1.58,0,157.3505121487356,0,256
4,1.85,0,141.21199808219862,1000,0
8,1.3,0,157.3505121487356,0,256
16,2.2,0,141.21199808219862,1000,256
8,1.58,0,157.3505121487356,0,256
16,1.5,0,141.21199808219862,1000,256
8,1.23,1,276.053530085501,0,256
8,1.37,1,165.6321180513006,0,256
4,1.63,0,111.93520355955212,500,0
8,1.21,0,165.6321180513006,0,256
8,1.26,1,165.6321180513006,0,256
8,1.63,0,157.3505121487356,0,512
8,2.16,0,141.21199808219862,1000,256
4,2.0,0,127.33567457123112,1000,0
8,1.7,0,141.21199808219862,0,256
6,2.1,1,141.21199808219862,1000,0
16,1.8,0,141.21199808219862,2000,256
8,2.2,0,141.21199808219862,0,256
16,2.5,0,127.33567457123112,0,512
4,2.1,0,100.45466986113652,0,256
4,1.86,0,100.45466986113652,500,0
8,1.63,0,157.3505121487356,1000,0
4,1.65,0,111.93520355955212,0,64
16,2.8,0,127.33567457123112,2000,256
8,2.5,0,127.33567457123112,0,256
8,2.36,0,100.45466986113652,1000,0
4,2.2,0,141.21199808219862,1000,0
8,1.6,0,157.3505121487356,0,256
4,2.2,0,141.21199808219862,0,256
8,2.05,0,100.45466986113652,1000,0
8,1.63,0,157.3505121487356,0,256
4,1.9,0,100.45466986113652,1000,0
8,3.0,0,127.33567457123112,1000,128
4,2.2,0,141.21199808219862,1000,0
4,1.32,0,165.6321180513006,0,256
4,3.0,0,127.33567457123112,1000,0
8,1.75,0,157.3505121487356,0,256
8,2.4,0,141.21199808219862,0,256
4,2.1,0,100.45466986113652,500,0
4,1.86,0,100.45466986113652,0,256
8,1.25,0,157.3505121487356,0,256
8,0.97,1,352.4651472131677,0,512
4,2.0,0,141.21199808219862,1000,0
16,2.9,0,127.33567457123112,1000,256
4,2.1,0,100.45466986113652,1000,0
16,2.56,0,141.21199808219862,0,512
8,2.62,0,141.21199808219862,0,0
4,1.9,0,100.45466986113652,0,128
16,2.8,0,127.33567457123112,1000,256
4,1.48,0,157.3505121487356,0,256
6,1.91,0,141.21199808219862,0,256
4,1.74,1,157.3505121487356,0,256
8,1.1,1,165.6321180513006,0,256
8,1.56,1,141.21199808219862,0,256
4,2.1,0,100.45466986113652,500,0
4,2.03,0,100.45466986113652,1000,0
4,3.0,0,127.33567457123112,0,256
8,2.13,0,141.21199808219862,0,256
16,2.5,0,141.21199808219862,0,256
4,2.1,0,100.45466986113652,1000,0
16,2.4,0,141.21199808219862,1000,256
4,2.1,0,100.45466986113652,1000,0
8,2.56,0,141.21199808219862,1000,128
8,3.0,0,127.33567457123112,0,256
4,1.49,0,165.6321180513006,500,0
8,1.05,0,199.69207064108247,0,256
6,2.71,0,127.33567457123112,2000,0
4,2.2,0,100.45466986113652,500,0
4,2.0,0,100.45466986113652,500,0
8,2.5,0,127.33567457123112,0,256
8,2.3,0,100.45466986113652,1000,0
4,2.1,0,100.45466986113652,0,128
32,4.4,0,119.7232157653423,1000,512
8,1.9,0,141.21199808219862,1000,128
8,1.29,1,331.2642361026012,0,256
16,2.02,0,141.21199808219862,2000,256
8,1.23,0,165.6321180513006,0,256
16,1.4,1,316.96506044349616,0,512
8,2.0,0,100.45466986113652,0,128
8,1.95,0,141.21199808219862,0,256
16,2.77,1,127.33567457123112,0,512
16,2.06,1,282.42399616439724,0,512
